genome	tax	AMO	hao	NXR	NAP	NAR	NAS	NIR	ccNIR	ppk1	ppk2	ppx	Ni_MP_aver	Cd_MP_aver	Cr_O_aver	Ni_O_aver	Cd_O_aver	Cr_LP_aver	Ni_LP_aver	Cd_LP_aver	Cd_HP_aver	Ni_HP_aver	Cr_MP_aver	Cr_HP_aver	CK	LDAgroup	LDA_socre	pvalue
MAG-126	p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Methylophilaceae;g__Methylobacillus;s__Methylobacillus glycogenes						Yes	Yes		Yes	Yes	Yes	0	0	0	0	0	0	0	0	31.695597	0.832624	0	0	0			-
MAG-127	p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Dongia;s__			Yes		Yes				Yes	Yes	Yes	1.403785	11.2683735	7.884906	8.029571	6.074991	0.536325	2.393057	6.7539585	3.711876	0.805966	0.634917	0.604887	10.617356	CK	3.150714734	0.010769851
MAG-128	p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Ga0077523;g__Ga0077526;s__					Yes				Yes	Yes	Yes	3.354995	7.21556	4.4297575	2.69796	3.589114	0.498089	1.9054045	4.891438	3.369132	1.198133	0.69524	0.223975	1.361449	Cd	3.150639277	0.008020068
MAG-129	p__Nitrospirae;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira;s__	Yes		Yes						Yes	Yes		5.253624	10.7861	11.737583	5.637115	8.419595	0.201544	2.684435	13.019441	4.778649	2.173388	0.212389	0.086544	8.059527	Cd	3.20374258	0.022713741
MAG-13	p__Cyanobacteria;c__;o__;f__;g__Candidatus Obscuribacter;s__			Yes		Yes				Yes	Yes	Yes	0.622787	2.564966	11.979266	3.61176	9.547244	0.165957	1.351405	10.369265	0.540999	0.177478	0.440712	0.084329	1.269394	CK	3.084023516	0.011350238
MAG-130	p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Hyphomonadaceae;g__SWB02;s__					Yes				Yes	Yes		0.479076	2.160738	10.922327	10.717863	8.876405	0.849433	1.128714	5.149378	1.600285	0.304037	0.791425	0.905697	1.029485	CK	3.095375291	0.022092394
MAG-131	p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax;s__Acidovorax temperans			Yes		Yes	Yes	Yes		Yes	Yes	Yes	0.818359	1.067654	1.457103	1.962896	1.519301	6.608975	1.918436	3.341262	16.139503	2.215809	3.063424	19.268013	0.601852			-
MAG-132	p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JOSHI-001;s__				Yes		Yes	Yes		Yes	Yes		4.97865	6.251431	19.514461	13.015928	15.793005	12.209686	7.072388	13.456369	5.195091	3.059686	17.912435	31.102004	6.215891	Cr	3.2988694	0.045769189
MAG-133	p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__					Yes				Yes	Yes	Yes	2.385456	1.074074	11.618155	15.791595	8.793687	3.920955	2.973233	3.399269	0.716866	1.087582	2.033541	0.923161	0.534079			-
MAG-134	p__Proteobacteria;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae;g__;s__			Yes		Yes				Yes	Yes	Yes	4.090768	35.156722	16.087207	27.229451	12.363258	16.468784	6.783854	22.360868	8.883281	1.870729	13.305352	5.348802	16.92398			-
MAG-135	p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__;s__									Yes	Yes		7.017039	15.736647	0.257602	0.359521	0.270042	1.422498	0.620158	1.851512	1.828094	1.390599	3.824999	3.316656	2.54879			-
MAG-136	p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__Candidatus Accumulibacter;s__Accumulibacter					Yes	Yes	Yes		Yes	Yes	Yes	72.318873	335.986085	6.346227	3.708828	6.276129	0.716538	5.228408	46.55803	3.34067	0.990577	0.791207	0.687866	117.068328			-
MAG-137	p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Azonexaceae;g__Dechloromonas;s__				Yes	Yes	Yes	Yes		Yes	Yes	Yes	17.714432	62.668876	6.418162	5.297561	7.272736	3.617689	14.947989	23.321269	32.168603	34.666232	3.013211	4.843705	43.29197			-
MAG-138	p__Bacteroidetes;c__Kapabacteria;o__Kapabacteriales;f__;g__;s__									Yes			0.024852	0	8.055197	25.239588	10.23656	4.494821	1.750938	0.255355	0	0.004158	1.586605	0.003455	0.003528			-
MAG-139	p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__Sediminibacterium;s__									Yes	Yes		0.020035	0.047131	0.040306	0.051556	0.049605	0.063728	0.00758	0.034291	0.055979	193.502343	0.103394	0.112595	0.021933			-
MAG-14	p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__OLB11;s__									Yes			0	0	7.480941	16.120687	9.63715	0	0	0.486915	0	0	0	0	0			-
MAG-140	p__Bacteroidetes;c__Chitinophagia;o__Chitinophagales;f__Saprospiraceae;g__;s__							Yes		Yes	Yes		1.339271	0.115564	9.736495	13.29556	15.565221	0.073624	18.859357	8.835205	0	0	0.075768	0.011906	17.239443			-
MAG-141	p__Planctomycetes;c__Planctomycetia;o__Pirellulales;f__;g__;s__									Yes	Yes		0.739604	1.872702	1.554349	1.72686	1.942548	14.182211	3.450558	4.636379	0.764183	0.354921	7.733002	4.385234	0.401173			-
MAG-142	p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__;s__						Yes	Yes		Yes	Yes	Yes	75.650425	59.203187	91.894915	129.380408	92.461064	1.140232	225.788623	77.18923	7.411489	18.032495	1.578153	1.576948	173.238674	CK	4.333290339	0.013746098
